"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.584163208E0,4.586858675E-2,5.267112702E-2,4.141551629E-2
3.594161208E0,2.713165432E-2,1.091715880E-2,3.873196989E-2
3.604159208E0,4.929413088E-3,-3.005876951E-2,2.656238899E-2
3.614157208E0,-2.544378117E-2,-8.349003270E-3,1.612431929E-2
3.624155208E0,-4.196416959E-2,5.370771140E-2,1.274796296E-2
3.634153208E0,-3.331559151E-2,7.465704530E-2,1.804259489E-3
3.644151208E0,-1.746658795E-2,7.635534555E-2,-4.860301502E-3
3.654149208E0,1.119636372E-2,5.720049888E-2,8.014802821E-3
3.664147208E0,4.868675023E-2,3.725528717E-2,3.402616456E-2
3.674145208E0,8.604435623E-2,-3.589151893E-3,5.316985399E-2
3.684143208E0,1.038220227E-1,1.796780527E-2,5.223561823E-2
3.694141208E0,6.889912486E-2,5.701849237E-2,4.163519666E-2
3.704139208E0,2.106661722E-2,1.934222504E-2,2.089449763E-2
3.714138208E0,1.065149624E-2,4.999972135E-2,1.438188087E-2
3.724136208E0,1.202115975E-2,1.408036649E-1,-7.441924885E-3
3.734134208E0,1.569853723E-2,2.147165388E-1,-3.582660481E-2
3.744132208E0,1.723890938E-2,2.633040547E-1,-5.956921726E-2
3.754130208E0,2.746937796E-2,2.319286466E-1,-7.225035131E-2
3.764128208E0,4.349707812E-2,1.386311948E-1,-5.235068128E-2
3.774126208E0,8.563016355E-2,1.234476827E-2,-2.016079426E-2
3.784124208E0,1.472274810E-1,-8.597354591E-2,1.849700115E-3
3.794122208E0,1.885887980E-1,-1.449849159E-1,3.113755397E-2
3.804120208E0,1.806373894E-1,-1.336971074E-1,6.811928004E-2
3.814118208E0,1.545221508E-1,-1.298262179E-1,5.441677198E-2
3.824116208E0,1.063005552E-1,-9.509034455E-2,-1.920004142E-3
