"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.580496713E1,1.096567917E1,-2.627631950E1,-5.924743652E0
2.581496512E1,1.098760414E1,-2.644134331E1,-5.877868652E0
2.582496212E1,1.098760414E1,-2.644134331E1,-5.877868652E0
2.583496013E1,1.102822495E1,-2.666724396E1,-5.779174805E0
2.584495813E1,1.102822495E1,-2.666724396E1,-5.779174805E0
2.585495613E1,1.112131977E1,-2.659314919E1,-6.029296875E0
2.586495413E1,1.112131977E1,-2.659314919E1,-6.029296875E0
2.587495113E1,1.125864124E1,-2.651439857E1,-6.174743652E0
2.588494913E1,1.125864124E1,-2.651439857E1,-6.174743652E0
2.589494713E1,1.121990776E1,-2.661758041E1,-6.303833008E0
2.590494513E1,1.121990776E1,-2.661758041E1,-6.303833008E0
2.591494313E1,1.146247101E1,-2.656984138E1,-6.040832520E0
2.592494012E1,1.146247101E1,-2.656984138E1,-6.040832520E0
2.593493813E1,1.140730667E1,-2.677307129E1,-6.059265137E0
2.594493613E1,1.140730667E1,-2.677307129E1,-6.059265137E0
2.595493413E1,1.142107201E1,-2.661564636E1,-5.862304688E0
2.596493213E1,1.142107201E1,-2.661564636E1,-5.862304688E0
2.597492913E1,1.142082119E1,-2.650100708E1,-5.711730957E0
2.598492712E1,1.142082119E1,-2.650100708E1,-5.711730957E0
2.599492513E1,1.120906734E1,-2.659646034E1,-5.541320801E0
2.600492313E1,1.104070950E1,-2.638532066E1,-5.361145020E0
2.601492113E1,1.104070950E1,-2.638532066E1,-5.361145020E0
2.602491813E1,1.121323776E1,-2.633555031E1,-5.214782715E0
2.603491613E1,1.121323776E1,-2.633555031E1,-5.214782715E0
2.604491412E1,1.124242306E1,-2.663422585E1,-5.085144043E0
2.605491213E1,1.124242306E1,-2.663422585E1,-5.085144043E0
2.606491013E1,1.122912407E1,-2.643780518E1,-5.089416504E0
2.607490713E1,1.122912407E1,-2.643780518E1,-5.089416504E0
2.608490513E1,1.131699562E1,-2.629133797E1,-5.077819824E0
2.609490313E1,1.131699562E1,-2.629133797E1,-5.077819824E0
2.610490112E1,1.134252262E1,-2.596982956E1,-5.134948730E0
2.611489913E1,1.134252262E1,-2.596982956E1,-5.134948730E0
2.612489613E1,1.164953136E1,-2.607000160E1,-5.000854492E0
2.613489413E1,1.164953136E1,-2.607000160E1,-5.000854492E0
2.614489212E1,1.161514091E1,-2.609358978E1,-4.884277344E0
2.615489013E1,1.161514091E1,-2.609358978E1,-4.884277344E0
2.616488813E1,1.183236027E1,-2.589282608E1,-5.153381348E0
2.617488513E1,1.183236027E1,-2.589282608E1,-5.153381348E0
2.618488313E1,1.196488380E1,-2.576521683E1,-5.362548828E0
2.619488113E1,1.196488380E1,-2.576521683E1,-5.362548828E0
2.620487912E1,1.225724030E1,-2.572035408E1,-5.777282715E0
2.621487713E1,1.225724030E1,-2.572035408E1,-5.777282715E0
2.622487413E1,1.264678097E1,-2.580441284E1,-6.032348633E0
2.623487213E1,1.264678097E1,-2.580441284E1,-6.032348633E0
2.624487013E1,1.277203941E1,-2.554837799E1,-6.276794434E0
2.625486813E1,1.277203941E1,-2.554837799E1,-6.276794434E0
2.626486612E1,1.308761597E1,-2.558448601E1,-6.330017090E0
2.627486312E1,1.308761597E1,-2.558448601E1,-6.330017090E0
2.628486113E1,1.371630859E1,-2.540912056E1,-6.407897949E0
2.629485913E1,1.371630859E1,-2.540912056E1,-6.407897949E0
2.630485713E1,1.390420341E1,-2.522636795E1,-6.709655762E0
2.631485513E1,1.390420341E1,-2.522636795E1,-6.709655762E0
2.632485213E1,1.411645889E1,-2.496925163E1,-6.971923828E0
2.633485013E1,1.411645889E1,-2.496925163E1,-6.971923828E0
2.634484813E1,1.425440311E1,-2.466118431E1,-7.040405273E0
2.635484613E1,1.425440311E1,-2.466118431E1,-7.040405273E0
2.636484413E1,1.427780342E1,-2.461828041E1,-7.033203125E0
2.637484213E1,1.427780342E1,-2.461828041E1,-7.033203125E0
2.638483913E1,1.451657295E1,-2.432952309E1,-7.222778320E0
2.639483713E1,1.451657295E1,-2.432952309E1,-7.222778320E0
2.640483513E1,1.471451473E1,-2.449939919E1,-7.245178223E0
2.641483313E1,1.471451473E1,-2.449939919E1,-7.245178223E0
2.642483112E1,1.459582233E1,-2.440901184E1,-7.135009766E0
2.643482812E1,1.459582233E1,-2.440901184E1,-7.135009766E0
2.644482613E1,1.464362240E1,-2.448203087E1,-7.208618164E0
2.645482413E1,1.464362240E1,-2.448203087E1,-7.208618164E0
2.646482213E1,1.456341076E1,-2.434070206E1,-7.576965332E0
2.647482013E1,1.456341076E1,-2.434070206E1,-7.576965332E0
2.648481713E1,1.475148869E1,-2.445410919E1,-7.567626953E0
2.649481512E1,1.475148869E1,-2.445410919E1,-7.567626953E0
2.650481313E1,1.489219475E1,-2.412754250E1,-7.645141602E0
2.651481113E1,1.489219475E1,-2.412754250E1,-7.645141602E0
2.652480913E1,1.488985348E1,-2.443182182E1,-7.635559082E0
2.653480613E1,1.488985348E1,-2.443182182E1,-7.635559082E0
2.654480413E1,1.481094456E1,-2.427866936E1,-7.701843262E0
2.655480212E1,1.481094456E1,-2.427866936E1,-7.701843262E0
2.656480013E1,1.467250538E1,-2.413670540E1,-7.508605957E0
2.657479813E1,1.467250538E1,-2.413670540E1,-7.508605957E0
2.658479513E1,1.463154507E1,-2.427060699E1,-7.743896484E0
2.659479312E1,1.463154507E1,-2.427060699E1,-7.743896484E0
2.660479113E1,1.501477814E1,-2.423550224E1,-7.749694824E0
2.661478913E1,1.501477814E1,-2.423550224E1,-7.749694824E0
2.662478713E1,1.486015415E1,-2.437864113E1,-7.558166504E0
2.663478413E1,1.486015415E1,-2.437864113E1,-7.558166504E0
2.664478213E1,1.487484360E1,-2.420061493E1,-7.353027344E0
2.665478012E1,1.487484360E1,-2.420061493E1,-7.353027344E0
2.666477813E1,1.456150627E1,-2.418294716E1,-7.300842285E0
2.667477613E1,1.456150627E1,-2.418294716E1,-7.300842285E0
2.668477313E1,1.465082932E1,-2.429656792E1,-7.446105957E0
2.669477113E1,1.465082932E1,-2.429656792E1,-7.446105957E0
2.670476913E1,1.461191654E1,-2.431648636E1,-7.531860352E0
2.671476712E1,1.461191654E1,-2.431648636E1,-7.531860352E0
2.672476513E1,1.476344013E1,-2.439251137E1,-7.560241699E0
2.673476313E1,1.476344013E1,-2.439251137E1,-7.560241699E0
2.674476013E1,1.484535980E1,-2.428144073E1,-7.386718750E0
2.675475813E1,1.464350128E1,-2.440819931E1,-7.549865723E0
2.676475613E1,1.464350128E1,-2.440819931E1,-7.549865723E0
2.677475425E1,1.475783825E1,-2.426152611E1,-7.517822266E0
2.678475225E1,1.475783825E1,-2.426152611E1,-7.517822266E0
2.679474925E1,1.473765087E1,-2.442012405E1,-7.430603027E0
2.680474725E1,1.473765087E1,-2.442012405E1,-7.430603027E0
2.681474525E1,1.461024189E1,-2.438704300E1,-7.728637695E0
2.682474325E1,1.461024189E1,-2.438704300E1,-7.728637695E0
2.683474125E1,1.462604618E1,-2.427389336E1,-7.723571777E0
2.684473825E1,1.462604618E1,-2.427389336E1,-7.723571777E0
2.685473625E1,1.475002956E1,-2.423364449E1,-7.643249512E0
2.686473425E1,1.475002956E1,-2.423364449E1,-7.643249512E0
2.687473225E1,1.493144608E1,-2.433160782E1,-7.634521484E0
2.688473025E1,1.493144608E1,-2.433160782E1,-7.634521484E0
2.689472725E1,1.469106483E1,-2.439659309E1,-7.732910156E0
2.690472525E1,1.469106483E1,-2.439659309E1,-7.732910156E0
2.691472325E1,1.469534683E1,-2.445273209E1,-7.874694824E0
2.692472125E1,1.469534683E1,-2.445273209E1,-7.874694824E0
2.693471925E1,1.496267796E1,-2.424746704E1,-7.750122070E0
2.694471725E1,1.496267796E1,-2.424746704E1,-7.750122070E0
2.695471425E1,1.480054379E1,-2.425617599E1,-7.720581055E0
2.696471225E1,1.480054379E1,-2.425617599E1,-7.720581055E0
2.697471025E1,1.479032707E1,-2.411566544E1,-7.862976074E0
2.698470825E1,1.479032707E1,-2.411566544E1,-7.862976074E0
2.699470625E1,1.471279335E1,-2.433334351E1,-7.630065918E0
2.700470325E1,1.471279335E1,-2.433334351E1,-7.630065918E0
2.701470125E1,1.490098381E1,-2.431468773E1,-7.579162598E0
2.702469925E1,1.490098381E1,-2.431468773E1,-7.579162598E0
2.703469725E1,1.474511909E1,-2.406700897E1,-7.729858398E0
2.704469525E1,1.474511909E1,-2.406700897E1,-7.729858398E0
2.705469225E1,1.474161625E1,-2.414193344E1,-7.598571777E0
2.706469025E1,1.474161625E1,-2.414193344E1,-7.598571777E0
2.707468825E1,1.468070793E1,-2.427043343E1,-7.604675293E0
2.708468625E1,1.468070793E1,-2.427043343E1,-7.604675293E0
2.709468425E1,1.467548370E1,-2.432321167E1,-7.544738770E0
