"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.554360958E0,-1.148001391E-1,-1.632852513E-1,-6.148201078E-2
2.564358958E0,-7.730866939E-2,-1.924032158E-1,7.326181144E-2
2.574356958E0,9.111453027E-2,-1.764941114E-1,4.890815824E-2
2.584354958E0,1.046449873E-1,-8.037582636E-2,2.163879097E-2
2.594352958E0,1.172308266E-1,-3.812735438E-2,1.952560723E-2
2.604350958E0,1.298078951E-1,-4.360502601E-2,-2.300294638E-2
2.614348958E0,9.403492212E-2,2.693812251E-3,-4.684496820E-2
2.624346958E0,6.623755127E-2,1.051738679E-2,-1.066391802E-1
2.634344958E0,2.864317060E-2,-2.533832431E-2,-4.269870758E-2
2.644343958E0,-1.084161490E-2,-1.357840419E-2,7.677218735E-2
2.654341958E0,7.255809903E-2,2.544708252E-3,9.122182667E-2
2.664339958E0,1.943918538E-1,3.127851069E-2,4.223005325E-2
2.674337958E0,1.462324315E-1,6.509705186E-2,7.028820992E-2
2.684335958E0,1.408260959E-1,3.904536724E-2,-2.763832659E-2
2.694333958E0,1.557932138E-1,4.275191724E-2,-1.136190015E-1
2.704331958E0,1.355165318E-1,1.077466428E-1,-7.533552647E-2
2.714329958E0,1.497045082E-1,8.128740728E-2,7.826498151E-3
2.724327958E0,2.579659984E-1,6.421178341E-2,3.904273599E-2
2.734325958E0,2.979247007E-1,1.028361511E-1,-9.214305550E-2
2.744323958E0,2.823377779E-1,1.238247317E-1,-1.206382915E-1
2.754321958E0,2.095656708E-1,8.727086306E-2,-1.682600623E-1
2.764319958E0,9.666733861E-2,2.174930334E-2,-1.557724562E-1
2.774318958E0,3.950203478E-2,-3.824722230E-2,-4.491392523E-2
2.784316958E0,8.123916775E-2,-9.638608754E-2,-1.265688300E-2
2.794314958E0,-5.138591588E-2,-1.112771916E-1,-4.216427207E-3
2.804312958E0,-8.825494945E-3,-1.189762205E-1,-1.051884860E-2
2.814310958E0,1.032676756E-1,-1.140142733E-1,-2.792542487E-2
2.824308958E0,1.014725804E-1,-7.758553505E-2,-4.407426506E-2
2.834306958E0,7.414561808E-2,-7.365737557E-3,-6.495379508E-3
2.844304958E0,-7.225258201E-2,-1.547173262E-3,-1.242179570E-1
2.854302958E0,6.134255469E-2,-4.019609928E-2,-1.457193384E-1
2.864300958E0,2.351083553E-1,6.399836004E-2,2.910422355E-2
2.874298958E0,1.668158001E-1,1.266202855E-1,1.094958374E-1
2.884296958E0,1.574748731E-1,7.120096028E-2,1.839867336E-1
2.894294958E0,5.003111601E-2,4.622925639E-2,3.025089177E-1
2.904293958E0,8.911565959E-2,-3.226025820E-2,2.722329122E-1
2.914291958E0,2.767282516E-1,-1.029519260E-2,1.956320482E-1
2.924289958E0,3.889930379E-1,6.930880129E-2,2.632735160E-1
2.934287958E0,3.897946912E-1,8.680308580E-2,8.324680924E-3
2.944285958E0,1.338369191E-1,5.902237952E-2,-3.524175346E-1
2.954283958E0,-5.660777181E-2,-1.387076497E-2,-3.240132228E-1
2.964281958E0,-3.731956154E-2,9.337418675E-3,-2.495158947E-1
2.974279958E0,-9.955264717E-2,-5.914926410E-2,-3.335120246E-1
2.984277958E0,-2.784695524E-1,-1.867787790E-1,-2.772135705E-1
2.994275958E0,-2.886472160E-1,-2.338541275E-1,-7.028820992E-2
3.004273958E0,-2.011611754E-1,-2.856166041E-1,-5.340963721E-2
3.014271958E0,5.578243732E-4,-2.350849664E-1,-7.434383869E-2
3.024269958E0,1.562039807E-1,-1.137786305E-1,1.241068599E-1
3.034268958E0,2.475255024E-1,-2.522138000E-2,3.221079075E-1
3.044266958E0,3.258808234E-1,3.930790722E-2,1.896494696E-1
3.054264958E0,3.726389605E-1,4.085449576E-2,9.035000682E-2
3.064262958E0,2.717665967E-1,5.009543538E-2,-1.643497369E-1
3.074260958E0,1.181546867E-2,5.890485048E-3,-4.351734701E-1
3.084258958E0,-1.270898169E-1,-3.759759665E-3,-2.739788908E-1
3.094256958E0,-1.529359719E-1,-1.489268285E-1,-1.674467146E-1
3.104254958E0,-1.668350959E-1,-1.630110168E-1,-6.568528175E-2
3.114252958E0,4.216719568E-2,-3.582881391E-2,-4.145968258E-2
3.124250958E0,7.593808204E-2,-6.240616322E-2,-5.853647590E-2
3.134248958E0,8.808771908E-2,-2.061552823E-2,-2.360316306E-2
3.144247208E0,1.983065647E-1,1.059655809E-1,7.213388354E-2
3.154245208E0,2.390397307E-1,7.247272968E-2,1.015354380E-1
3.164243208E0,4.049740630E-1,-1.087067556E-1,1.504827726E-1
3.174241208E0,4.794903946E-1,-1.349899900E-1,1.064032450E-1
3.184240208E0,3.532601184E-1,4.132812023E-3,-1.910454923E-1
3.194238208E0,1.733743295E-1,-9.899336100E-3,-4.475314142E-1
3.204236208E0,-9.446615428E-2,8.993426979E-2,-5.683613482E-1
3.214234208E0,5.095556080E-3,5.611806750E-2,-4.651651548E-1
3.224232208E0,-9.467402279E-2,-6.965904951E-2,-6.315565932E-1
3.234230208E0,1.411371678E-2,-9.448866606E-2,-3.096422285E-1
3.244228208E0,1.153015378E-1,-7.303757071E-2,8.651540279E-2
3.254226208E0,1.758462399E-2,-1.525363147E-1,8.298806995E-2
3.264224208E0,-3.387321264E-2,-1.964798945E-1,2.482683912E-1
3.274222208E0,5.145549774E-3,-1.353349757E-1,2.851046804E-1
3.284220208E0,1.417672053E-1,-1.038407028E-1,2.182794839E-1
3.294218208E0,2.023180470E-1,2.202178359E-2,1.718841666E-1
3.304216208E0,3.288693354E-1,4.270981729E-2,1.841624424E-2
3.314215208E0,4.250156870E-1,8.409933329E-2,4.079003021E-2
3.324213208E0,2.508686480E-1,2.739771366E-1,-1.061851439E-1
3.334211208E0,-7.142812461E-2,2.802973920E-1,-2.396083724E-1
3.344209208E0,-3.176353723E-2,1.203824759E-1,-4.786998510E-2
3.354207208E0,-9.246786833E-3,1.280674714E-1,6.086249828E-2
3.364205208E0,-3.312009126E-2,3.987976491E-2,1.687914281E-1
3.374203208E0,-8.410868883E-2,-4.560301960E-2,2.274353465E-1
3.384201208E0,-5.226796836E-2,-8.904724717E-2,6.903252035E-2
3.394199208E0,4.441281885E-2,-1.603984809E-1,1.565163682E-1
3.404197208E0,1.185376793E-1,-1.727495545E-1,-2.262229264E-2
3.414195208E0,1.752185413E-1,-9.365251422E-2,-1.813987559E-1
3.424193208E0,1.818735498E-1,-5.258459508E-2,-3.522596598E-2
3.434191208E0,1.247447911E-1,-9.177848160E-2,9.745846689E-4
3.444189208E0,1.023938093E-1,-8.668380260E-2,-1.317192037E-1
3.454188208E0,1.805462319E-1,-9.748244047E-2,-3.215886748E-1
3.464186208E0,-9.519559443E-2,-8.327604532E-2,-4.934278178E-1
3.474184208E0,-2.179789370E-1,-1.656890416E-1,-3.414101511E-1
3.484182208E0,-2.195138311E-1,-2.173655641E-1,-1.411368755E-1
3.494180208E0,-7.417923957E-2,-2.020096064E-1,1.018818855E-2
3.504178208E0,1.908452252E-1,-6.285172105E-2,1.549522381E-1
3.514176208E0,2.989000162E-1,6.914449453E-2,1.898741488E-1
3.524174208E0,1.925341934E-1,7.490049362E-2,-1.623596370E-2
3.534172208E0,2.659225971E-1,7.976771593E-2,-1.215039718E-1
3.544170208E0,2.308565524E-1,1.464978951E-1,-5.067401737E-2
3.554168208E0,8.757959604E-2,3.880504668E-2,3.334140837E-2
3.564166208E0,-1.195492476E-2,-6.624778390E-2,1.600859472E-1
3.574164208E0,-9.185098708E-2,-6.080811918E-2,2.333767024E-1
3.584163208E0,-8.767899871E-4,-1.297327584E-1,7.011907920E-2
3.594161208E0,4.823719025E-2,-5.432414174E-2,-9.400510132E-2
3.604159208E0,3.539436579E-2,6.151153922E-2,-2.571324778E-1
3.614157208E0,2.411143228E-1,1.219583005E-1,-2.755361505E-1
3.624155208E0,3.070963508E-1,9.990084887E-2,-2.613524133E-1
3.634153208E0,2.694329730E-1,5.867447019E-2,-1.026784225E-1
3.644151208E0,2.327928579E-1,1.353688896E-2,-2.775380909E-2
3.654149208E0,7.174124300E-2,-1.126173735E-2,7.193946362E-2
