"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.859435642E1,-4.327201538E0,4.374054108E0,7.530540161E0
2.860435442E1,-4.326004028E0,4.352349243E0,7.538773041E0
2.861435242E1,-4.370461578E0,4.309837646E0,7.513625336E0
2.862435042E1,-4.432881775E0,4.288731537E0,7.522307281E0
2.863434842E1,-4.453239441E0,4.288132782E0,7.546257477E0
2.864434542E1,-4.518803101E0,4.290677490E0,7.581134949E0
2.865434342E1,-4.604425049E0,4.321213989E0,7.664062500E0
2.866434142E1,-4.609963531E0,4.379891968E0,7.761509857E0
2.867433942E1,-4.608466644E0,4.375251617E0,7.830067291E0
2.868433742E1,-4.662204895E0,4.317172394E0,7.801776123E0
2.869433542E1,-4.679718475E0,4.284839630E0,7.775580597E0
2.870433242E1,-4.647535400E0,4.278403015E0,7.774682465E0
2.871433042E1,-4.596790924E0,4.287833405E0,7.842940521E0
2.872432842E1,-4.551285553E0,4.319717102E0,7.984096985E0
2.873432642E1,-4.515509949E0,4.314328308E0,8.032296753E0
2.874432442E1,-4.513114929E0,4.297563171E0,8.067323914E0
2.875432142E1,-4.542004852E0,4.292773132E0,8.014483795E0
2.876431942E1,-4.618346100E0,4.263284454E0,7.912994843E0
2.877431742E1,-4.760700073E0,4.256698151E0,7.830216980E0
2.878431475E1,-4.846621399E0,4.261637878E0,7.800428925E0
2.879431275E1,-4.788392487E0,4.299060059E0,7.827821960E0
2.880431075E1,-4.735103302E0,4.262685699E0,7.860454102E0
2.881430775E1,-4.759203186E0,4.191583557E0,7.873626709E0
2.882430575E1,-4.771777039E0,4.200564880E0,7.927963715E0
2.883430375E1,-4.778063965E0,4.253554688E0,7.940836945E0
2.884430175E1,-4.819378052E0,4.253105621E0,7.934699707E0
2.885429975E1,-4.805007935E0,4.213587799E0,7.898025970E0
2.886429775E1,-4.724026337E0,4.113146667E0,7.834408264E0
2.887429475E1,-4.643044739E0,4.000880127E0,7.735014954E0
2.888429275E1,-4.641547852E0,3.897445221E0,7.623347168E0
2.889429075E1,-4.701423340E0,3.833677826E0,7.592361603E0
2.890428875E1,-4.709356842E0,3.785178680E0,7.603139191E0
2.891428675E1,-4.769082642E0,3.761677551E0,7.652536469E0
2.892428375E1,-4.823419647E0,3.803740082E0,7.764204254E0
2.893428175E1,-4.758454742E0,3.749103699E0,7.851921844E0
2.894427975E1,-4.785249023E0,3.645968170E0,7.918084259E0
2.895427775E1,-4.784201202E0,3.647465057E0,8.056696014E0
2.896427575E1,-4.810845795E0,3.681294708E0,8.152496796E0
2.897427375E1,-4.875810699E0,3.667373657E0,8.156688080E0
2.898427075E1,-4.942122803E0,3.649111633E0,8.139922943E0
2.899426875E1,-4.993915100E0,3.632795563E0,8.057145081E0
2.900426675E1,-5.032235413E0,3.568130035E0,7.874973907E0
2.901426475E1,-5.117707672E0,3.507955170E0,7.641459503E0
2.902426275E1,-5.098098450E0,3.593427429E0,7.524253235E0
2.903426075E1,-5.050946503E0,3.731141052E0,7.466623077E0
2.904425775E1,-4.987628174E0,3.837420044E0,7.482190704E0
2.905425575E1,-4.844525757E0,3.948938141E0,7.654332733E0
2.906425375E1,-4.572391663E0,4.061504059E0,7.888296204E0
2.907425175E1,-4.380041656E0,4.074976044E0,8.060438232E0
2.908424975E1,-4.341871033E0,4.018393707E0,8.136330414E0
2.909424675E1,-4.381688232E0,4.020489349E0,8.229287109E0
2.910424475E1,-4.473148041E0,4.046086121E0,8.206085358E0
2.911424275E1,-4.502187653E0,4.033063202E0,8.113877106E0
2.912424075E1,-4.465663605E0,4.015699310E0,8.015082550E0
2.913423875E1,-4.431684265E0,4.022435303E0,7.887847137E0
2.914423675E1,-4.401297455E0,4.065994720E0,7.769593048E0
2.915423375E1,-4.445006561E0,4.182153168E0,7.739505615E0
2.916423175E1,-4.335883484E0,4.241429901E0,7.725285187E0
2.917422975E1,-4.127067719E0,4.185596008E0,7.670948181E0
2.918422775E1,-3.998185730E0,4.108506317E0,7.524402924E0
2.919422575E1,-3.888014832E0,4.087699585E0,7.415878601E0
2.920422375E1,-3.776945801E0,4.141737213E0,7.450606384E0
2.921422075E1,-3.666475525E0,4.126618652E0,7.509434052E0
2.922421875E1,-3.588487701E0,4.041445770E0,7.560926971E0
2.923421675E1,-3.537593536E0,3.988306274E0,7.649542694E0
2.924421475E1,-3.588338013E0,3.991000671E0,7.744445343E0
2.925421275E1,-3.631897430E0,4.055666199E0,7.881410522E0
2.926421075E1,-3.576662292E0,4.059408417E0,7.969726868E0
2.927420775E1,-3.490142212E0,4.005670166E0,8.001760254E0
2.928420575E1,-3.442840576E0,3.982169037E0,8.023016052E0
2.929420375E1,-3.464246063E0,4.022884369E0,8.036637726E0
2.930420175E1,-3.387455750E0,4.089346161E0,8.061036987E0
2.931419975E1,-3.307971039E0,4.133803711E0,8.150251465E0
2.932419675E1,-3.306174774E0,4.188739471E0,8.229885864E0
2.933419475E1,-3.367547150E0,4.253105621E0,8.349038086E0
2.934419275E1,-3.453019409E0,4.234693909E0,8.390352173E0
2.935419075E1,-3.563040619E0,4.144730988E0,8.399333496E0
2.936418875E1,-3.643573151E0,4.025578766E0,8.426726532E0
2.937418675E1,-3.719914398E0,3.889212341E0,8.381071472E0
2.938418375E1,-3.834276581E0,3.765569458E0,8.326135712E0
2.939418175E1,-3.976331177E0,3.712130585E0,8.334368591E0
2.940417975E1,-4.065545654E0,3.699706421E0,8.387807465E0
2.941417775E1,-4.059707794E0,3.705544281E0,8.459059296E0
2.942417575E1,-3.941304016E0,3.709735565E0,8.543184357E0
