"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.043236344E3,5.235590320E1,4.956675247E0,-3.446792154E0,1.828209609E-1,8.914294354E1,3.200483309E1,3.200483309E1
1.044236324E3,5.235590191E1,4.956691010E0,-3.447736695E0,4.157288969E-1,8.977689438E1,3.200483309E1,3.200483309E1
1.045236304E3,5.235589957E1,4.956679534E0,-3.447456928E0,2.107636333E-1,9.329334897E1,3.200483309E1,3.200483309E1
1.046236284E3,5.235589630E1,4.956684825E0,-3.447943935E0,1.386417896E-1,9.551757958E1,3.200483309E1,3.200483309E1
1.047236265E3,5.235589892E1,4.956651528E0,-3.448047567E0,4.955165461E-2,9.349628755E1,3.200483309E1,3.200483309E1
1.048236243E3,5.235590841E1,4.956575227E0,-3.449139397E0,7.521744817E-2,9.074012863E1,3.200483309E1,3.200483309E1
1.049236224E3,5.235591738E1,4.956509988E0,-3.449924926E0,1.605556160E-1,8.437127776E1,3.200483309E1,3.200483309E1
1.050236204E3,5.235591602E1,4.956500384E0,-3.450429199E0,1.605556160E-1,8.821654449E1,3.200483309E1,3.200483309E1
1.051236184E3,5.235591895E1,4.956490478E0,-3.450740552E0,1.707327366E-1,9.366500005E1,3.200483309E1,3.200483309E1
1.052236164E3,5.235592094E1,4.956479864E0,-3.450936482E0,4.334058985E-2,9.392370030E1,3.200483309E1,3.200483309E1
1.053236144E3,5.235592088E1,4.956463402E0,-3.451059072E0,4.373298213E-2,9.782207175E1,3.200483309E1,3.200483309E1
1.054236124E3,5.235592175E1,4.956462652E0,-3.451136562E0,1.575181782E-1,9.721553046E1,3.200483309E1,3.200483309E1
1.055236104E3,5.235592334E1,4.956478961E0,-3.451185510E0,1.575181782E-1,7.231130837E1,3.200483309E1,3.200483309E1
1.056236084E3,5.235592126E1,4.956487480E0,-3.451214437E0,3.040474951E-1,4.625190321E1,3.200483309E1,3.200483309E1
1.057236064E3,5.235592733E1,4.956495786E0,-3.451234496E0,5.970726609E-1,4.699441307E1,3.200483309E1,3.200483309E1
1.058236044E3,5.235593050E1,4.956505856E0,-3.451246802E0,-1.000000000E0,-1.000000000E0,3.200483309E1,3.200483309E1
1.059236024E3,5.235593278E1,4.956516829E0,-1.932919246E0,1.007277727E0,5.315028499E1,3.200483309E1,3.200483309E1
1.060236004E3,5.235593203E1,4.956513076E0,-3.299422143E0,5.970726609E-1,5.274110885E1,3.200483309E1,3.200483309E1
1.061235984E3,5.235593495E1,4.956506116E0,-3.436075866E0,4.818658829E-1,5.307935006E1,3.200483309E1,3.200483309E1
1.062235964E3,5.235594347E1,4.956503138E0,-3.449741238E0,5.150127411E-1,5.419353150E1,3.200483309E1,3.200483309E1
1.063235944E3,5.235595232E1,4.956498704E0,-3.451111209E0,5.702666640E-1,5.467474565E1,3.200483309E1,3.200483309E1
1.064235924E3,5.235594788E1,4.956487862E0,-3.451248206E0,5.150127411E-1,6.090790457E1,3.200483309E1,3.200483309E1
1.065235904E3,5.235594235E1,4.956475174E0,-3.451261906E0,2.016156316E-1,6.190578837E1,3.200483309E1,3.200483309E1
1.066235884E3,5.235593896E1,4.956464402E0,-3.451263276E0,1.909620464E-1,6.161019828E1,3.200483309E1,3.200483309E1
1.067235864E3,5.235593242E1,4.956454778E0,-3.451263413E0,4.911693558E-2,6.008337779E1,3.200483309E1,3.200483309E1
1.068235844E3,5.235593024E1,4.956446301E0,-3.451263426E0,1.071535945E-1,5.823338007E1,3.200483309E1,3.200483309E1
1.069235824E3,5.235592547E1,4.956455894E0,-3.451263428E0,4.605421424E-2,6.323790066E1,3.200483309E1,3.200483309E1
1.070235804E3,5.235592263E1,4.956465171E0,-3.451263428E0,2.104166429E-3,7.056283458E1,3.200483309E1,3.200483309E1
1.071235784E3,5.235592205E1,4.956478375E0,-3.451263428E0,1.544957459E-1,7.387055176E1,3.200483309E1,3.200483309E1
1.072235764E3,5.235592285E1,4.956498133E0,-3.451263428E0,6.920030713E-1,8.997699160E1,3.200483309E1,3.200483309E1
1.073235744E3,5.235592228E1,4.956502412E0,-3.451263428E0,6.920030713E-1,8.937448695E1,3.200483309E1,3.200483309E1
1.074235724E3,5.235592503E1,4.956531043E0,-3.451263428E0,4.463921785E-1,9.083614743E1,3.200483309E1,3.200483309E1
1.075235704E3,5.235593776E1,4.956528989E0,-3.451263428E0,4.394031465E-1,6.194508245E1,3.200483309E1,3.200483309E1
1.076235684E3,5.235595002E1,4.956538814E0,-3.451263428E0,2.252694517E-1,6.592637240E1,3.200483309E1,3.200483309E1
1.077235664E3,5.235595133E1,4.956537641E0,-3.451263428E0,2.121577561E-1,6.531888854E1,3.200483309E1,3.200483309E1
1.078235644E3,5.235595323E1,4.956533484E0,-3.451263428E0,3.489753306E-1,6.353745226E1,3.200483309E1,3.200483309E1
1.079235623E3,5.235595830E1,4.956531714E0,-3.451263428E0,3.489753306E-1,6.205739808E1,3.200483309E1,3.200483309E1
1.080235603E3,5.235596315E1,4.956526734E0,-3.451263428E0,3.997865617E-1,5.837430736E1,3.200483309E1,3.200483309E1
1.081235584E3,5.235596273E1,4.956528819E0,-3.451263428E0,4.050908983E-1,6.617503226E1,3.200483309E1,3.200483309E1
1.082235564E3,5.235595965E1,4.956520551E0,-3.451263428E0,4.673242271E-1,6.820833860E1,3.200483309E1,3.200483309E1
1.083235544E3,5.235595966E1,4.956523913E0,-3.451263428E0,4.673242271E-1,6.507996170E1,3.200483309E1,3.200483309E1
1.084235524E3,5.235596255E1,4.956522714E0,-3.451263428E0,4.134288728E-1,6.033306901E1,3.200483309E1,3.200483309E1
1.085235504E3,5.235596776E1,4.956520056E0,-3.451263428E0,4.134288728E-1,5.679792361E1,3.200483309E1,3.200483309E1
1.086235484E3,5.235597568E1,4.956518730E0,-3.451263428E0,1.117827296E-1,2.029965860E1,3.200483309E1,3.200483309E1
1.087235464E3,5.235597826E1,4.956521179E0,-3.451263428E0,2.002748251E-1,2.771473053E1,3.200483309E1,3.200483309E1
